,Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Decade
494,3994,1988-01-10,Halloween 4: The Return of Michael Myers,5000000,17768757,17768757,1980
495,4200,1988-01-12,Talk Radio,4000000,3468572,3468572,1980
496,3825,1988-01-15,Return of the Living Dead Part II,6200000,9205924,9205924,1980
497,4711,1988-02-26,Bloodsport,1500000,11806119,11806119,1980
498,2567,1988-03-06,Big,18000000,151668774,114968774,1980
499,2801,1988-03-30,Beetle Juice,15000000,73326666,73326666,1980
500,4215,1988-04-03,Prison,4000000,354704,354704,1980
501,4179,1988-04-11,They Live,4000000,13000000,13000000,1980
502,4102,1988-04-22,Lady in White,4700000,1705139,1705139,1980
503,4445,1988-05-13,Friday the 13th Part VII: The New Blood,2800000,19170001,19170001,1980
504,884,1988-05-25,Rambo III,58000000,188715611,53715611,1980
505,2962,1988-05-25,Crocodile Dundee 2,14000000,239606210,109306210,1980
506,638,1988-06-22,Who Framed Roger Rabbit?,70000000,351500000,154112492,1980
507,1885,1988-07-15,Die Hard,28000000,139109346,81350242,1980
508,1781,1988-07-20,Midnight Run,30000000,81613606,38413606,1980
509,4366,1988-08-07,Phantasm II,3000000,7282851,7282851,1980
510,3041,1988-08-19,A Nightmare on Elm Street 4: The Dream Master,13000000,49369899,49369899,1980
511,3519,1988-09-11,Child's Play,9000000,44196684,33244684,1980
512,2755,1988-09-12,My Stepmother Is an Alien,16000000,13854000,13854000,1980
513,2795,1988-09-12,Twins,15000000,216600000,111936388,1980
514,3497,1988-10-06,Poltergeist III,9500000,14114000,14114000,1980
515,3851,1988-10-21,Mystic Pizza,6000000,12793213,12793213,1980
516,3119,1988-11-18,The Land Before Time,12300000,81972846,48092846,1980
517,1667,1988-11-23,Scrooged,32000000,59450353,59450353,1980
518,3727,1988-12-02,Action Jackson,7000000,20257000,20257000,1980
519,3849,1988-12-02,School Daze,6000000,14545844,14545844,1980
520,3045,1988-12-08,Young Guns,13000000,44726644,44726644,1980
521,3743,1988-12-08,The Last Temptation of Christ,7000000,8373585,8373585,1980
522,2008,1988-12-16,Rain Man,25000000,412800000,172825435,1980
523,2974,1988-12-21,Dangerous Liaisons,14000000,34700000,34700000,1980
524,2886,1989-01-03,New York Stories,15000000,10763469,10763469,1980
525,2724,1989-02-06,Dead Poets Society,16400000,239500000,95860116,1980
526,3319,1989-02-17,Bill & Ted's Excellent Adventure,10000000,40485039,40485039,1980
527,2622,1989-03-22,Troop Beverly Hills,18000000,7190505,7190505,1980
528,4793,1989-04-08,"Sex, Lies, and Videotape",1200000,36741667,24741667,1980
529,3235,1989-04-21,Pet Sematary,11500000,57469179,57469179,1980
530,3340,1989-05-19,Road House,10000000,30050028,30050028,1980
531,1124,1989-05-24,Indiana Jones and the Last Crusade,48000000,474171806,197171806,1980
532,1510,1989-06-23,Batman,35000000,411348924,251188924,1980
533,3839,1989-06-30,Do the Right Thing,6000000,26004026,26004026,1980
534,3248,1989-07-04,Major League,11000000,49793054,49793054,1980
535,1260,1989-07-14,Licence to Kill,42000000,156167015,34667015,1980
536,2726,1989-07-14,When Harry Met Sally…,16000000,92961960,92823546,1980
537,4028,1989-07-21,UHF,5000000,6157157,6157157,1980
538,4002,1989-07-28,Friday the 13th Part VIII: Jason Takes Manhattan,5000000,14343976,14343976,1980
